date,PPFD_IN_1_1_1,TS_1_1_1,TS_1_2_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,SWC_1_1_1,SR1,Rh,SR2,SR3,Ra1,Ra2,Ra3,gc,SR,Ra
3/20/2024 23:00,0,15.435,15.505,15.49,15.545,16.65,42.7,1.6,1.31,2.57,3.43,0.29,1.26,2.12,0.003407092,2.085,0.775
3/21/2024,0,15.36,15.505,15.415,15.49,16.675,42.8,2.18,1.20858,1.92,3.2,0.97142,0.71142,1.99142,0.00172328,2.05,0.84142
3/21/2024 1:00,0,15.29,15.505,15.37,15.44,16.69,42.8,1.7,2.1,1.72,2.33,-0.4,-0.38,0.23,0.001071234,1.71,-0.39
3/21/2024 2:00,0,15.25,15.495,15.325,15.405,16.7,42.8,1.39,1.92,1.7,2.29,-0.53,-0.22,0.37,0.001568187,1.545,-0.375
3/21/2024 3:00,0,15.2,15.475,15.285,15.375,16.7,42.8,1.57,1.28,2.3,NA,0.29,1.02,NA,0.000600242,1.935,0.655
3/21/2024 4:00,0,15.16,15.465,15.24,15.34,16.7,42.8,1.46,1.42,1.74,2.98,0.04,0.32,1.56,0.002029602,1.6,0.18
3/21/2024 5:00,0,15.12,15.445,15.21,15.31,16.7,42.8,1.26,1.28,1.75267,3.27,-0.02,0.47267,1.99,0.004037352,1.506335,0.226335
3/21/2024 6:00,0,15.085,15.435,15.165,15.275,16.69,42.8,1.03,0.9,1.38,2.1,0.13,0.48,1.2,0.003273049,1.205,0.305
3/21/2024 7:00,0,15.02,15.42,15.09,15.23,16.685,43,1.10756,0.631377,0.96,1.63,0.476183,0.328623,0.998623,0.000721673,1.03378,0.402403
3/21/2024 8:00,153.965,14.91,15.385,14.96,15.15,16.665,43.15,1.07,0.9,1.28,1.49,0.17,0.38,0.59,0.001637097,1.175,0.275
3/21/2024 9:00,350.65,14.845,15.36,14.925,15.085,16.655,43.1,1.09,0.97,1.42,2.03,0.12,0.45,1.06,0.008460371,1.255,0.285
3/21/2024 10:00,263.05,14.89,15.325,15.065,15.105,16.635,43.05,1.28,1.01432,1.65,1.43,0.26568,0.63568,0.41568,0.016209132,1.465,0.45068
3/21/2024 11:00,376.35,15.025,15.315,15.23,15.185,16.62,43,1.25,1.05,1.7,NA,0.2,0.65,NA,0.008593637,1.475,0.425
3/21/2024 12:00,308.1,15.175,15.315,15.415,15.29,16.61,43.05,1.2,1.14,1.56,1.56,0.06,0.42,0.42,0.009430449,1.38,0.24
3/21/2024 13:00,327.95,15.33,15.345,15.58,15.41,16.615,43.1,1.17,1.07,1.46,NA,0.1,0.39,NA,0.002937806,1.315,0.245
3/21/2024 14:00,281.8,15.495,15.375,15.745,15.53,16.625,43.1,1.27,1.18,1.91,NA,0.09,0.73,NA,0.011830336,1.59,0.41
3/21/2024 15:00,198.15,15.625,15.435,15.87,15.655,16.65,43.1,1.48,1.26,1.44,1.61,0.22,0.18,0.35,0.002540716,1.46,0.2
3/21/2024 16:00,155.35,15.72,15.49,15.935,15.74,16.68,43.1,1.12,1.33,1.52,2.26,-0.21,0.19,0.93,0.014744883,1.32,-0.01
3/21/2024 17:00,68.305,15.765,15.55,15.955,15.795,16.72,43.1,1.21,1.09,1.59,3.09,0.12,0.5,2,NA,1.4,0.31
3/21/2024 18:00,0,15.76,15.6,15.905,15.81,16.76,43.1,1.18,0.87,1.71497,NA,0.31,0.84497,NA,0.006882757,1.447485,0.577485
3/21/2024 19:00,0,15.71,15.635,15.81,15.79,16.79,43.2,NA,2.06,NA,NA,NA,NA,NA,NA,NA,NA
3/21/2024 20:00,0,15.61,15.655,15.675,15.73,16.815,43.65,0.67,NA,0.72,NA,NA,NA,NA,0.000814719,0.695,NA
3/21/2024 21:00,0,15.485,15.66,15.54,15.64,16.84,43.55,0.74,NA,0.82,NA,NA,NA,NA,0.003414612,0.78,NA
3/21/2024 22:00,0,15.37,15.645,15.42,15.55,16.84,43.5,0.93,0.61,0.77,NA,0.32,0.16,NA,0.00787606,0.85,0.24
3/21/2024 23:00,0,15.26,15.62,15.3,15.465,16.84,43.5,0.78,0.638095,0.499668,1.41,0.141905,-0.138427,0.771905,0.006080524,0.639834,0.001739
3/22/2024,0,15.135,15.58,15.18,15.375,16.825,43.85,NA,NA,NA,0.74942,NA,NA,NA,0.003495349,NA,NA
3/22/2024 1:00,0,15.015,15.535,15.065,15.27,16.805,43.9,NA,NA,NA,NA,NA,NA,NA,0.00055363,NA,NA
3/22/2024 2:00,0,14.925,15.48,14.98,15.18,16.775,43.9,NA,NA,0.58,NA,NA,NA,NA,NA,0.58,NA
3/22/2024 3:00,0,14.86,15.43,14.915,15.105,16.745,43.9,NA,NA,0.6,1.4,NA,NA,NA,0.010067514,0.6,NA
3/22/2024 4:00,0,14.805,15.385,14.86,15.05,16.71,43.8,NA,NA,0.65,2.12,NA,NA,NA,0.000693477,0.65,NA
3/22/2024 5:00,0,14.76,15.34,14.83,15.01,16.67,43.7,0.62,NA,1.15,1.77,NA,NA,NA,0.001521169,0.885,NA
3/22/2024 6:00,0,14.735,15.3,14.8,14.97,16.635,43.7,NA,NA,0.79,3.32,NA,NA,NA,NA,0.79,NA
3/22/2024 7:00,39.045,14.705,15.265,14.775,14.945,16.605,43.7,0.71,NA,0.84,1.59,NA,NA,NA,NA,0.775,NA
3/22/2024 8:00,164.75,14.695,15.23,14.795,14.93,16.575,43.6,0.73,NA,0.936865,2.42,NA,NA,NA,0.025986148,0.8334325,NA
3/22/2024 9:00,135.1,14.745,15.21,14.89,14.95,16.545,43.6,0.7,0.55,0.85,1.67,0.15,0.3,1.12,0.015819723,0.775,0.225
3/22/2024 10:00,285.95,14.825,15.19,14.995,15.005,16.53,43.6,0.79,NA,1.02,NA,NA,NA,NA,0.011566206,0.905,NA
3/22/2024 11:00,200.35,14.945,15.19,15.16,15.09,16.52,43.55,0.857754,NA,0.96,NA,NA,NA,NA,0.005755988,0.908877,NA
3/22/2024 12:00,554.2,15.085,15.205,15.32,15.195,16.51,43.5,0.88,0.62,1.04,NA,0.26,0.42,NA,0.008094126,0.96,0.34
3/22/2024 13:00,494.15,15.305,15.24,15.62,15.35,16.525,43.45,0.95,0.67,1.12,NA,0.28,0.45,NA,0.021538241,1.035,0.365
3/22/2024 14:00,257.75,15.61,15.29,15.985,15.58,16.545,43.4,0.98,0.73,2.51,NA,0.25,1.78,NA,0.009980521,1.745,1.015
3/22/2024 15:00,535.8,15.855,15.375,16.17,15.79,16.58,43.4,0.894826,0.63,1.16,1.97,0.264826,0.53,1.34,0.012600222,1.027413,0.397413
3/22/2024 16:00,296.4,16.02,15.47,16.34,15.95,16.635,43.4,1.01,0.66,1.62,1.49841,0.35,0.96,0.83841,0.010495082,1.315,0.655
3/22/2024 17:00,230.4,16.135,15.575,16.39,16.07,16.695,43.3,0.89,0.719606,1.06,1.71,0.170394,0.340394,0.990394,0.011992372,0.975,0.255394
3/22/2024 18:00,96.79,16.12,15.66,16.285,16.105,16.76,43.35,0.893548,0.73,1.53,1.73,0.163548,0.8,1,0.01135872,1.211774,0.481774
3/22/2024 19:00,0,15.975,15.735,16.065,16.045,16.82,43.4,0.87,0.711262,2.14,1.56,0.158738,1.428738,0.848738,0.003912721,1.505,0.793738
3/22/2024 20:00,0,15.76,15.765,15.775,15.905,16.87,43.4,1.54,0.74,1,2.2,0.8,0.26,1.46,NA,1.27,0.53
3/22/2024 21:00,0,15.495,15.76,15.48,15.72,16.895,43.4,0.836039,0.78,1.01,1.61,0.056039,0.23,0.83,NA,0.9230195,0.1430195
3/22/2024 22:00,0,15.235,15.715,15.2,15.52,16.9,43.4,1.09,0.75,1.67423,2.85,0.34,0.92423,2.1,NA,1.382115,0.632115
3/22/2024 23:00,0,14.985,15.66,14.95,15.325,16.885,43.4,1.09429,0.7974075,1.11,2.46,0.2968825,0.3125925,1.6625925,NA,1.102145,0.3047375
3/23/2024,0,14.76,15.58,14.72,15.135,16.85,43.45,0.95,0.94,1.02465,1.58,0.01,0.08465,0.64,NA,0.987325,0.047325
3/23/2024 1:00,0,14.55,15.485,14.515,14.955,16.805,43.5,1.07,0.87,0.97,1.28,0.2,0.1,0.41,0.000452118,1.02,0.15
3/23/2024 2:00,0,14.365,15.39,14.335,14.79,16.745,43.5,1.074445,1.05,0.91,2.82,0.024445,-0.14,1.77,0.00017141,0.9922225,-0.0577775
3/23/2024 3:00,0,14.2,15.285,14.175,14.64,16.685,43.5,0.756293,1.01,1.1,1.92,-0.253707,0.09,0.91,0.000226146,0.9281465,-0.0818535
3/23/2024 4:00,0,14.045,15.185,14.035,14.495,16.615,43.5,0.847896,0.956053,1.215227,2.32,-0.108157,0.259174,1.363947,0.000913283,1.0315615,0.0755085
3/23/2024 5:00,0,13.91,15.085,13.9,14.37,16.54,43.5,NA,0.95758,2.15508,1.83,NA,1.1975,0.87242,NA,2.15508,1.1975
3/23/2024 6:00,0,13.78,14.985,13.77,14.25,16.47,43.5,1.18,1.005,0.987887,2.55,0.175,-0.017113,1.545,0.000371628,1.0839435,0.0789435
3/23/2024 7:00,128.785,13.665,14.895,13.655,14.13,16.395,43.5,0.877507,1.03,0.917204,1.59,-0.152493,-0.112796,0.56,0.000660452,0.8973555,-0.1326445
3/23/2024 8:00,500.65,13.57,14.805,13.595,14.03,16.325,43.5,0.941115,1.2,1.02,1.97,-0.258885,-0.18,0.77,0.011672519,0.9805575,-0.2194425
3/23/2024 9:00,898,13.59,14.72,13.735,14.01,16.25,43.5,0.99,1.15,1.19,2.29,-0.16,0.04,1.14,0.012383015,1.09,-0.06
3/23/2024 10:00,1173,13.8,14.655,14.105,14.135,16.185,43.45,1.04,1.16,1.17,1.79,-0.12,0.01,0.63,0.012181974,1.105,-0.055
3/23/2024 11:00,1459.5,14.34,14.635,15.04,14.49,16.14,43.35,1.27,1.46853,1.36,3.99,-0.19853,-0.10853,2.52147,0.014381403,1.315,-0.15353
3/23/2024 12:00,1413,15.335,14.705,16.125,15.19,16.13,43.2,1.77,1.88,1.74,NA,-0.11,-0.14,NA,0.018123209,1.755,-0.125
3/23/2024 13:00,1517.5,16.04,14.895,16.755,15.765,16.18,43.15,1.49,1.73,1.58,4.29,-0.24,-0.15,2.56,0.013599385,1.535,-0.195
3/23/2024 14:00,1016,16.775,15.145,17.62,16.375,16.29,43.05,1.56,1.75,1.56,4.52,-0.19,-0.19,2.77,0.00732594,1.56,-0.19
3/23/2024 15:00,1067,17.405,15.435,18.16,16.96,16.435,43,1.8,1.85,1.74,3.49,-0.05,-0.11,1.64,0.013585778,1.77,-0.08
3/23/2024 16:00,323.75,17.845,15.75,18.49,17.385,16.62,43,1.96,2.47,2.75,3.09,-0.51,0.28,0.62,0.00281141,2.355,-0.115
3/23/2024 17:00,297.2,18.045,16.045,18.47,17.63,16.825,43,1.71,2.16244,2.28,NA,-0.45244,0.11756,NA,0.002676215,1.995,-0.16744
3/23/2024 18:00,76.07,18,16.295,18.26,17.675,17.025,43,1.75,1.97,1.92,4.71,-0.22,-0.05,2.74,0.000284702,1.835,-0.135
3/23/2024 19:00,0,17.83,16.485,17.98,17.615,17.2,43,1.81,3.47,1.59,3.61,-1.66,-1.88,0.14,0.000353841,1.7,-1.77
3/23/2024 20:00,0,17.595,16.6,17.66,17.47,17.34,43,2.69831,2.76,1.6,3.81,-0.06169,-1.16,1.05,0.000909845,2.149155,-0.610845
3/23/2024 21:00,0,17.33,16.66,17.355,17.295,17.445,43.05,1.58,1.47,1.36,2.08,0.11,-0.11,0.61,0.000686145,1.47,2.22E-16
3/23/2024 22:00,0,17.075,16.67,17.08,17.105,17.515,43.1,1.46,1.45,1.56,3.36,0.01,0.11,1.91,0.00116033,1.51,0.06
3/23/2024 23:00,0,16.825,16.64,16.83,16.925,17.55,43.1,1.13,2.17,1.35,2.96,-1.04,-0.82,0.79,0.001897772,1.24,-0.93
3/24/2024,0,16.605,16.6,16.605,16.745,17.565,43.1,1.29,1.58,1.33,2.37,-0.29,-0.25,0.79,0.002784569,1.31,-0.27
3/24/2024 1:00,0,16.385,16.545,16.39,16.575,17.56,43.1,1.20855,1.6,2.7,NA,-0.39145,1.1,NA,0.001103541,1.954275,0.354275
3/24/2024 2:00,0,16.175,16.47,16.175,16.405,17.54,43.1,1.05667,1.53,1.21,1.74,-0.47333,-0.32,0.21,0.001983467,1.133335,-0.396665
3/24/2024 3:00,0,15.97,16.39,15.96,16.23,17.51,43.15,1.41,1.32,1.23,NA,0.09,-0.09,NA,0.0056692,1.32,-2.22E-16
3/24/2024 4:00,0,15.765,16.3,15.76,16.06,17.47,43.2,1.19,1.16,1.3,1.45,0.03,0.14,0.29,0.004300864,1.245,0.085
3/24/2024 5:00,0,15.56,16.21,15.56,15.895,17.42,43.2,1.07588,1.43,1.6,1.9,-0.35412,0.17,0.47,0.004123855,1.33794,-0.09206
3/24/2024 6:00,0,15.365,16.115,15.36,15.725,17.365,43.2,1.08,1.23,1.14,1.52,-0.15,-0.09,0.29,0.003203862,1.11,-0.12
3/24/2024 7:00,45.45,15.165,16.015,15.16,15.555,17.3,43.2,1,1.17,1.17,1.71,-0.17,0,0.54,0.004109179,1.085,-0.085
3/24/2024 8:00,162.2,14.98,15.91,14.995,15.395,17.235,43.2,1.04,1.11,1.22,1.35,-0.07,0.11,0.24,0.003952174,1.13,0.02
3/24/2024 9:00,477.25,14.865,15.805,14.925,15.27,17.165,43.2,1.16,1.14,1.36,NA,0.02,0.22,NA,0.006043877,1.26,0.12
3/24/2024 10:00,438.7,14.86,15.705,15.015,15.225,17.09,43.2,1.16,1.21,1.31,NA,-0.05,0.1,NA,0.004806396,1.235,0.025
3/24/2024 11:00,511.45,14.98,15.63,15.2,15.28,17.025,43.2,1.17,1.3,1.31,1.65096,-0.13,0.01,0.35096,0.005695944,1.24,-0.06
3/24/2024 12:00,555.75,15.15,15.59,15.42,15.375,16.97,43.15,1.22,1.15,1.38,NA,0.07,0.23,NA,0.001558255,1.3,0.15
3/24/2024 13:00,497.9,15.39,15.58,15.72,15.535,16.935,43.1,1.22,1.29,1.47,NA,-0.07,0.18,NA,0.003186845,1.345,0.055
3/24/2024 14:00,526.85,15.65,15.605,16,15.73,16.92,43.1,1.21,1.22,1.49,NA,-0.01,0.27,NA,0.006568379,1.35,0.13
3/24/2024 15:00,527.45,15.94,15.66,16.31,15.935,16.925,43.05,1.36978,1.32,1.53,NA,0.04978,0.21,NA,0.003443788,1.44989,0.12989
3/24/2024 16:00,430.15,16.23,15.735,16.61,16.165,16.95,43,1.29,1.31,1.56,NA,-0.02,0.25,NA,0.006726755,1.425,0.115
3/24/2024 17:00,234.75,16.485,15.835,16.84,16.38,16.995,43,1.44,1.41,1.69,NA,0.03,0.28,NA,0.005873379,1.565,0.155
3/24/2024 18:00,57.75,16.645,15.95,16.935,16.54,17.055,43,1.21,1.44,1.6,NA,-0.23,0.16,NA,0.003454179,1.405,-0.035
3/24/2024 19:00,0,16.685,16.05,16.9,16.615,17.12,43,1.58,2.02,1.7,NA,-0.44,-0.32,NA,0.002478768,1.64,-0.38
3/24/2024 20:00,0,16.645,16.135,16.815,16.615,17.185,43,1.2,1.46,1.49,NA,-0.26,0.03,NA,0.001384636,1.345,-0.115
3/24/2024 21:00,0,16.59,16.19,16.735,16.595,17.24,43,1.34,1.62,1.41,NA,-0.28,-0.21,NA,0.000906775,1.375,-0.245
3/24/2024 22:00,0,16.55,16.235,16.695,16.57,17.29,43,1.4,1.64,1.43,NA,-0.24,-0.21,NA,NA,1.415,-0.225
3/24/2024 23:00,0,16.535,16.255,16.685,16.56,17.32,43,1.28,1.48,2.32,NA,-0.2,0.84,NA,0.000287153,1.8,0.32
3/25/2024,0,16.515,16.27,16.67,16.55,17.345,43,1.27,1.91,1.56,NA,-0.64,-0.35,NA,0.000190938,1.415,-0.495
3/25/2024 1:00,0,16.515,16.285,16.685,16.555,17.365,43,1.35,1.36,1.93,NA,-0.01,0.57,NA,0.000855877,1.64,0.28
3/25/2024 2:00,0,16.53,16.3,16.715,16.575,17.385,43,1.34,2.08,1.62,NA,-0.74,-0.46,NA,NA,1.48,-0.6
3/25/2024 3:00,0,16.57,16.31,16.755,16.6,17.405,43,1.44,NA,1.77,NA,NA,NA,NA,0.002019259,1.605,NA
3/25/2024 4:00,0,16.605,16.33,16.785,16.625,17.415,43,1.86259,2.53,3.73421,NA,-0.66741,1.20421,NA,NA,2.7984,0.2684
3/25/2024 5:00,0,16.62,16.345,16.79,16.645,17.435,43,1.97,1.39,3.19,NA,0.58,1.8,NA,0.000229363,2.58,1.19
3/25/2024 6:00,0,16.625,16.365,16.785,16.65,17.455,43,1.54,3.06,1.74,NA,-1.52,-1.32,NA,NA,1.64,-1.42
3/25/2024 7:00,40.15,16.615,16.38,16.78,16.66,17.47,43,1.44,1.32116,1.88,NA,0.11884,0.55884,NA,NA,1.66,0.33884
3/25/2024 8:00,217.25,16.63,16.39,16.815,16.665,17.485,43,1.37066,1.55,1.68284,NA,-0.17934,0.13284,NA,0.003979674,1.52675,-0.02325
3/25/2024 9:00,192.85,16.73,16.405,16.98,16.725,17.5,43,1.48,1.46,1.74,NA,0.02,0.28,NA,0.010075933,1.61,0.15
3/25/2024 10:00,106.535,16.895,16.435,17.17,16.855,17.515,43.2,1.29841,0.938745,0.900116,NA,0.359665,-0.038629,NA,0.006774674,1.099263,0.160518
3/25/2024 11:00,214.3,16.945,16.48,17.075,16.92,17.545,43.6,0.955631,NA,0.8,1.38,NA,NA,NA,0.005530839,0.8778155,NA
3/25/2024 12:00,348.45,16.79,16.525,16.865,16.835,17.58,43.6,1.0486,0.63,0.86,NA,0.4186,0.23,NA,0.014337539,0.9543,0.3243
3/25/2024 13:00,666.95,16.67,16.54,16.795,16.75,17.605,43.45,1.097755,0.68,0.96,0.93,0.417755,0.28,0.25,0.012789169,1.0288775,0.3488775
3/25/2024 14:00,1047.5,16.715,16.535,16.94,16.76,17.615,43.4,1.2984,0.93,1.16,1.86,0.3684,0.23,0.93,0.021896352,1.2292,0.2992
3/25/2024 15:00,1191,16.935,16.535,17.32,16.905,17.62,43.35,1.13,0.87,1.315,2.07,0.26,0.445,1.2,0.016939116,1.2225,0.3525
3/25/2024 16:00,717.25,17.33,16.565,17.825,17.21,17.635,43.3,1.57488,1.27,1.54,3.76,0.30488,0.27,2.49,0.01892745,1.55744,0.28744
3/25/2024 17:00,490.55,17.57,16.645,17.99,17.44,17.675,43.2,1.25,0.9,1.8,2.93,0.35,0.9,2.03,0.007689747,1.525,0.625
3/25/2024 18:00,133.805,17.66,16.745,17.975,17.55,17.735,43.2,2.13982,1.2,1.33,1.98,0.93982,0.13,0.78,0.003704408,1.73491,0.53491
3/25/2024 19:00,0,17.575,16.835,17.77,17.53,17.795,43.2,1.01,0.862503,1.86,2.945,0.147497,0.997497,2.082497,0.003563874,1.435,0.572497
3/25/2024 20:00,0,17.355,16.895,17.445,17.405,17.86,43.3,0.930162,0.880363,1.19696,2.57,0.049799,0.316597,1.689637,0.002298477,1.063561,0.183198
3/25/2024 21:00,0,17.065,16.905,17.095,17.205,17.9,43.3,0.98,0.98,2.27,2.25,0,1.29,1.27,NA,1.625,0.645
3/25/2024 22:00,0,16.76,16.88,16.745,16.97,17.92,43.3,1.2,1.04,1.22,2.05,0.16,0.18,1.01,0.007512156,1.21,0.17
3/25/2024 23:00,0,16.45,16.81,16.42,16.73,17.905,43.35,0.99,0.930131,1.46,2.23,0.059869,0.529869,1.299869,0.002454351,1.225,0.294869
3/26/2024,0,16.16,16.72,16.125,16.495,17.88,43.4,0.922035,0.940063,1.29,2.17,-0.018028,0.349937,1.229937,0.009206452,1.1060175,0.1659545
3/26/2024 1:00,0,15.875,16.615,15.83,16.26,17.825,43.4,1.12,0.96,1.38,1.87,0.16,0.42,0.91,0.007567649,1.25,0.29
3/26/2024 2:00,0,15.57,16.5,15.51,16.01,17.76,43.4,0.95,0.932966,1.33,1.86,0.017034,0.397034,0.927034,0.00621268,1.14,0.207034
3/26/2024 3:00,0,15.26,16.37,15.175,15.75,17.69,43.4,0.938526,1.02109,1.03407,2.16,-0.082564,0.01298,1.13891,0.009552824,0.986298,-0.034792
3/26/2024 4:00,0,14.915,16.22,14.815,15.47,17.595,43.5,0.792565,0.89,1.01,1.7,-0.097435,0.12,0.81,0.003817094,0.9012825,0.0112825
3/26/2024 5:00,0,14.555,16.065,14.425,15.17,17.495,43.5,0.781624,0.9,1.24,1.48,-0.118376,0.34,0.58,0.002742992,1.010812,0.110812
3/26/2024 6:00,0,14.18,15.895,14.05,14.855,17.385,43.5,0.79,0.99,0.97,1.64,-0.2,-0.02,0.65,0.003417631,0.88,-0.11
3/26/2024 7:00,127.755,13.84,15.705,13.72,14.555,17.255,43.6,0.78,0.920561,0.98,1.69,-0.140561,0.059439,0.769439,0.003387651,0.88,-0.040561
3/26/2024 8:00,571.35,13.535,15.51,13.43,14.275,17.125,43.6,0.74,0.91,1.08,1.42,-0.17,0.17,0.51,0.013228915,0.91,0
3/26/2024 9:00,991.5,13.32,15.325,13.31,14.06,16.98,43.6,0.79,0.9,1.06,1.58,-0.11,0.16,0.68,0.013271021,0.925,0.025
3/26/2024 10:00,1237,13.255,15.145,13.37,13.955,16.835,43.6,0.824248,0.95,1.21,1.81,-0.125752,0.26,0.86,0.010908591,1.017124,0.067124
3/26/2024 11:00,1475,13.54,15,14.13,14.105,16.7,43.45,1.05,1.22,1.34,3.47,-0.17,0.12,2.25,0.017479429,1.195,-0.025
3/26/2024 12:00,1615.5,14.385,14.94,15.085,14.66,16.6,43.4,1.29,1.45,1.53,3.22,-0.16,0.08,1.77,0.014489025,1.41,-0.04
3/26/2024 13:00,1602.5,14.97,15,15.545,15.09,16.555,43.35,1.24,1.34,1.47,2.54,-0.1,0.13,1.2,0.014767399,1.355,0.015
3/26/2024 14:00,1485,15.58,15.145,16.32,15.57,16.57,43.25,1.35,1.89,1.59,NA,-0.54,-0.3,NA,0.008515258,1.47,-0.42
3/26/2024 15:00,1288.5,16.125,15.33,16.82,16.06,16.63,43.2,1.27293,1.58,1.49,4.78,-0.30707,-0.09,3.2,0.012669879,1.381465,-0.198535
3/26/2024 16:00,925.5,16.525,15.545,17.15,16.435,16.73,43.2,1.28,1.34,1.4,1.90604,-0.06,0.06,0.56604,0.00835464,1.34,-2.22E-16
3/26/2024 17:00,526.1,16.67,15.76,17.13,16.625,16.85,43.2,1.31,1.38,1.89,2.71,-0.07,0.51,1.33,0.00826261,1.6,0.22
3/26/2024 18:00,144.325,16.635,15.94,16.94,16.665,16.97,43.2,1.14,1.65,2.69574,2.39,-0.51,1.04574,0.74,0.004729087,1.91787,0.26787
3/26/2024 19:00,0,16.42,16.055,16.575,16.545,17.085,43.2,1.0515,1.9,1.48,2.2,-0.8485,-0.42,0.3,0.004597443,1.26575,-0.63425
3/26/2024 20:00,0,16.105,16.11,16.135,16.325,17.155,43.25,1,1.18,1.42,1.72,-0.18,0.24,0.54,0.00219722,1.21,0.03
3/26/2024 21:00,0,15.745,16.115,15.69,16.05,17.205,43.3,1.04,1.3,2.44,1.97,-0.26,1.14,0.67,0.002363795,1.74,0.44
3/26/2024 22:00,0,15.365,16.055,15.27,15.755,17.215,43.3,1.12,1.13,1.15,2.09,-0.01,0.02,0.96,0.003258851,1.135,0.005
3/26/2024 23:00,0,14.99,15.96,14.885,15.455,17.19,43.4,0.93,1.1,1.19,2.08,-0.17,0.09,0.98,0.004296501,1.06,-0.04
3/27/2024,0,14.62,15.835,14.51,15.155,17.14,43.4,0.88,1.08,1.06,1.75,-0.2,-0.02,0.67,0.001369764,0.97,-0.11
3/27/2024 1:00,0,14.28,15.69,14.165,14.86,17.065,43.4,0.84,1.08136,1.05,1.91,-0.24136,-0.03136,0.82864,0.001192017,0.945,-0.13636
3/27/2024 2:00,0,13.955,15.53,13.845,14.58,16.975,43.4,0.873098,0.95,1.05,NA,-0.076902,0.1,NA,0.000560238,0.961549,0.011549
3/27/2024 3:00,0,13.655,15.37,13.55,14.315,16.875,43.5,1.09,1.13,1.28,1.43,-0.04,0.15,0.3,0.001026242,1.185,0.055
3/27/2024 4:00,0,13.375,15.2,13.295,14.06,16.76,43.5,0.83,1.02,1.04575,1.62,-0.19,0.02575,0.6,0.001363577,0.937875,-0.082125
3/27/2024 5:00,0,13.16,15.035,13.085,13.845,16.64,43.5,0.97,0.94,1.03,1.87,0.03,0.09,0.93,9.30E-05,1,0.06
3/27/2024 6:00,0,12.955,14.87,12.895,13.65,16.51,43.5,0.798518,0.88,1.37,NA,-0.081482,0.49,NA,0.001687901,1.084259,0.204259
3/27/2024 7:00,85.685,12.77,14.715,12.715,13.465,16.39,43.55,0.9,0.866022,1.12,1.91,0.033978,0.253978,1.043978,0.00105571,1.01,0.143978
3/27/2024 8:00,508.25,12.615,14.565,12.6,13.305,16.265,43.6,0.77,0.9,1.04,NA,-0.13,0.14,NA,0.006791509,0.905,0.005
3/27/2024 9:00,866,12.6,14.425,12.685,13.23,16.145,43.6,0.88,0.98,1.13,NA,-0.1,0.15,NA,0.011850829,1.005,0.025
3/27/2024 10:00,840.3,12.76,14.31,13,13.305,16.035,43.5,0.94,1.07,1.14,1.69194,-0.13,0.07,0.62194,0.009247457,1.04,-0.03
3/27/2024 11:00,1256,13.145,14.25,13.61,13.535,15.94,43.45,1.09,1.03,1.24,NA,0.06,0.21,NA,0.009206676,1.165,0.135
3/27/2024 12:00,1230.5,13.865,14.25,14.425,14.005,15.88,43.35,1.26,1.14,1.37,NA,0.12,0.23,NA,0.00780793,1.315,0.175
3/27/2024 13:00,1317,14.46,14.35,14.96,14.455,15.87,43.3,1.16,1.17,1.46,2.68,-0.01,0.29,1.51,0.007915966,1.31,0.14
3/27/2024 14:00,1172.5,14.995,14.505,15.555,14.89,15.905,43.25,1.39,1.33,1.59,3.41,0.06,0.26,2.08,0.010657186,1.49,0.16
3/27/2024 15:00,908.5,15.505,14.7,16.075,15.345,15.98,43.2,1.27,1.35,1.63,3.6,-0.08,0.28,2.25,0.005971789,1.45,0.1
3/27/2024 16:00,885.5,15.88,14.92,16.36,15.7,16.09,43.2,1.45,1.39,1.77,4.16754,0.06,0.38,2.77754,0.006124595,1.61,0.22
3/27/2024 17:00,389,16.075,15.125,16.46,15.915,16.215,43.2,1.35,1.54,2.34,4.53,-0.19,0.8,2.99,0.002205264,1.845,0.305
3/27/2024 18:00,84.375,16.14,15.315,16.425,16.035,16.34,43.2,1.23,1.67,3.11,4.55,-0.44,1.44,2.88,0.000254645,2.17,0.5
3/27/2024 19:00,0,16.065,15.455,16.24,16.035,16.46,43.2,1.17,1.42,1.49,3.23,-0.25,0.07,1.81,0.000292663,1.33,-0.09
3/27/2024 20:00,0,15.895,15.555,15.97,15.935,16.56,43.2,1.14881,1.18,1.87963,2.82,-0.03119,0.69963,1.64,0.000586863,1.51422,0.33422
3/27/2024 21:00,0,15.66,15.605,15.68,15.785,16.635,43.2,1.14559,1.79,1.52,2.11,-0.64441,-0.27,0.32,0.000957938,1.332795,-0.457205
3/27/2024 22:00,0,15.415,15.61,15.4,15.605,16.68,43.3,1.13251,1.09,1.61,2.58,0.04251,0.52,1.49,0.001037055,1.371255,0.281255
3/27/2024 23:00,0,15.165,15.58,15.12,15.42,16.7,43.3,1.05,1.08,1.63,3.21,-0.03,0.55,2.13,0.000530599,1.34,0.26
3/28/2024,0,14.9,15.53,14.84,15.21,16.695,43.3,1.044735,0.997456,1.32329,2.37,0.047279,0.325834,1.372544,0.000930254,1.1840125,0.1865565
3/28/2024 1:00,0,14.63,15.45,14.55,14.995,16.675,43.35,1.02,1,1.29656,2.7,0.02,0.29656,1.7,0.002691952,1.15828,0.15828
